"Movie.Name","Plot","dominant_topic"
"The Wolf Hunters ","The Wolf Hunters  :  After four fur trappers have been slain and their furs stolen, Corporal Rod Webb of the Royal Northwest Mounted Police sets out for their village. En route he and his dog Chinook come upon another trapper, Henri, shot and lying unconscious on the trail, and the furs he was delivering to the factor, McTavish, stolen. Chinook trails the would-be-killer Muskoka and bites a piece of cloth from his coat before he escapes. Webb leaves Henri with Greta while he investigates, aided by Minnetaki, Indian servant fired by McTavish, the real head of the fur thieves, and Marcia Cameron, wife of the superintendent of the trading company that employs McTavish.",NA
"""The Calling of Nami Island"" ","""The Calling of Nami Island""  :  A lady in dilemma when her ex-husband tries to take away her son after their divorce. She then runs away to Korea with her son to continue her studies and work at the Korean Tourism Office. She loves Korean drama and learns to speak Korea by herself. There she meets a guy whom she thinks a local but turns out to be a Malaysian. He falls in love with her despite being already married. As she is still hurt from her previous marriage and wants to focus on her studies she does not return his feelings.","Western and Adventure"
"The Chemist ","The Chemist  :  The Chemist is a gritty action thriller about an aging assassin who is double crossed by his employer when he refuses to assassinate a woman he just met. On the run; Steele (Olivier Gruner) becomes the next target in this fast-paced battle, assassin vs. assassin, until he is surprised by a secret that changes everything he thought he knew. To complicate matters even more he begins to fall in love with his would-be target.","Holidays and Romance"
"Cody of the Pony Express ","Cody of the Pony Express  :  An Eastern syndicate, plotting to gain control of the western frontier, hires a gang led by Mort Black to drive out the settlers. Army undercover agent Lt. Jim Archer and young Pony Express rider Bill Cody join forces to combat the wide-spread outlaw attacks by Black and his gang.","Sports and Competition"
"Once Upon an All Hallow's Eve ","Once Upon an All Hallow's Eve  :  As one final vacation before their second-to-the-last college semester ends, 20-year-old graduating student Cara Lee and her friends decide to go to a rest house up in the mountains. However, along the way, a minor landslide knocks her unconscious, and when she wakes up, she finds herself alone in a dark and scary forest. Looking for shelter, she finds a strange and haunted-looking mansion looming up ahead. Is there really more to the mansion that it seems, or will Cara Lee uncover something sinister about the house and its inhabitants?","Western and Adventure"
"Knight of the Plains ","Knight of the Plains  :  Peterson has a plan to obtain all the ranches in the valley. He gives Carson a phony Spanish land grant and has him pose as the Mexican owner. When Fred and Fuzzy have their cattle stolen by Peterson's men, they quickly become involved in the scheme.","Fantasy and Quest"
"America Is Still the Place ","America Is Still the Place  :  A black Korean War veteran and his family try to realize their dream of economic independence and to be a ""boss"" in the early era of civil rights in San Francisco. ""Charlie Walker"", a fighter, refused to take ""No"" for an answer. Until ""Black Gold"" opens a door that had never been opened to a black man. This is a story about what happened when he steps through that door, a door that the establishment tries to slam shut on him with all their might. ""Charlie"" with cunning, an old beat up truck, sexy women and humor kicks the door wide open and laughs all the way to the bank!","Western and Adventure"
"The Prototypes ","The Prototypes  :  A TV news reporter Vicky accidentally meets an alien who gives her the power to get anything she wants... as long as she can figure out how to ask for it in an alien language. Vicky and her Cameraman Bill evade Federal agents, a nasty boss, and an ego driven scientist. When the entire planet may be destroyed by a calculation error... only Vicky can save the world. In a dark cold alien world an alien salesman Bob is called into his manager's office octagon to be fired. Bob gets one last chance to prove himself. Bob has found a planet with enormous amounts of water, which is very valuable in the galaxy. Alien Bob sets his sights on visiting this out of the way backwater third-world planet and to make a big enough deal to save his job or maybe even retire. Meanwhile on that third-world planet... A young TV reporter Vicky and her sidekick/cameraman Bill are assigned all the worst news stories to cover because of their Assignment Desk Manager, and because they are young outsiders at the TV station. When the often-mocked Assignment Editor Hershe (with a silent E) sends Vicky and Bill to cover a lame story at the local small town airport, the terrestrial and the extraterrestrial worlds meet. The U.S. Navy and Air force make many attempts by to shoot down a fast moving U.F.O. The alien Bob in his U.F.O. eventually leaves the slow high-tech Earth technology aircraft in the dust and lands at the same small airport that Vicky and Bill are reporting from. From what was supposed to be a dreadful news story, Vicky ends capturing the most important story in the history of the world... Interviewing the first publicly known alien visitor. The alien Bob gives a gift to Vicky, a machine to order whatever she wants in the galaxy. The government in a haphazard attempt to conceal this alien contact tries desperately to stop Vicky and Bill from getting the alien footage on the air. Bill through his practiced slacker ways avoids the federal agents and gets the story on the air. Now faced with general public knowledge of an actual alien encounter, and the fact that the aliens will only accept direct communications from the first person they met on Earth, Vicky, the feds try and work together with Vicky to influence what is asked for from the aliens. Top scientist Dr. Wronski leads a small team of scientists and Vicky to determine just what should be asked for. After weeks of studying the alien artifact Dr. Wronski forces a decision from the committee. The result of Dr. Wronski's forced vote puts the entire planet at risk. The only person who is in a position to save the world is Vicky. Can Vicky do it?",NA
"""The Game of the Century"" ","""The Game of the Century""  :  The first of a six-part series looking at all aspects of world soccer focuses on the great names of the game - Best, Beckenbauer, Cruyff and Pele - how they became stars and what they achieved. In addition, action features new names, like Brazil's Zico, who were looking to become the superstars of the 1978 World Cup Finals in Argentina.","Western and Adventure"
"The Cattle Thief ","The Cattle Thief  :  Rancher Cal Pierson (James Marcus) becomes paralyzed and his foreman Ranse Willard (Ward Bond) takes charge. Keeping Cal and his nurse Alice (Geneva Mitchell) prisoners in the ranch house, Ranse builds a barbed-wire fence across the narrow entrance to the valley and demands five dollars a head from every cattleman who drives his herd through the pass. Cattleman's Association investigator Ken Martin (Ken Maynard), posing as a slow-talking and slower-thinking itinerant peddler, sizes up the situation when he rides up onto a fight between Ranses's henchmen and cattle Chet Rogers (Edward Hearn) and Bob Buckner (Dick Rush.) Ken, disguised as the old peddler, saves Chet's Life, and consents to carry a message to old Cal asking if he really wants the pass closed. Ken, now disguised as a masked rider, is chased by Ranse's men, but changes back to the peddler, and tells the pursuers he can identify the masked rider. Ken tells Ranse he knows the rider is going to tear down the fence that night. Ranse and his gunmen leaver for the pass, where Dolson (Sheldon Lewis) tells Ranse that the cattleman intend to stampede their cattle through the pass. Ranse decides to let the herds pass through, ambush the ranchers and take the cattle. But Ken and his horse Tarzan are on the way.","Family and Struggles"
"Abducted ","Abducted  :  An ex spook working as an anonymous driver for a protection racketeer has his world turned upside down when his teenage daughter is abducted. Abandoning his work, he makes his way across London following the instructions of the gang who snatched his girl. Still with his Boss's illicit money in the back of his car, he has no weapons but a particular set of old school skills which come into play as he fends off the challenges of the day. Not all is as it seems when he finally confronts the gang behind his daughter's disappearance. Will he comply with all their demands? How far will he go to protect his daughter? How far would you go?","History and Art"
"Darkest of Days ","Darkest of Days  :  In Darkest of Days, players travel back and forth through the annals time to relive some mankind's most dire hours, when human society was at its lowest points. By fighting through terrible events such as The Battle of Antietam, the bloodiest conflict of the Civil War, and the volcanic eruption in Pompeii in the year 79, the player attempts to save certain key individuals who were never meant to become involved in these truly monstrous events and thereby change human history for the better.","Aliens and Science Fiction"
"Red Riding, the Alpha Huntress ","Red Riding, the Alpha Huntress  :  Action. Adventure. Magic. Motorcycles. In this action-packed twist on the beloved Grimm Fairytale, Red Riding will not merely face dangerous wolves; she must face the wolf within herself. Gifted with the power to transform into a werewolf, she will rise to become a legendary warrior known as the Alpha Huntress. Accompanied by bad-boy Wolfgang Helheim, Red will lead a tribe of loyal followers armed with mystical powers of their own against a vile lunar deity, who plans to thrust Wayward Woods into eternal night.","Family and Struggles"
"""Sounds of the Game"" ","""Sounds of the Game""  :  A weekly scrapbook of interviews, in-game sound, and post game reactions from NFL coaches and players. It premiered every Tuesday at 9pm EST and ran throughout the 22 week NFL season. The show ran on the NFL Network for 3 seasons between 2003-2005. Paul Burmeister was host.",NA
"The Man from Monterey ","The Man from Monterey  :  In old California Captain John Holmes must convince landowner Don Jose Cantares to register his land or face having it become public domain. Don Luis Gonzales, with rather selfish motives, is trying to convince him to do otherwise. Captain John Holmes has been sent to encourage the Spanish landowners in California to register their land. To keep Don Jose from registering his, Don Pablo kidnaps him. Earlier Holmes did a favor for Morgan and his ruffian gang by keeping them from being arrested. Now he calls on Morgan to repay that favor by helping him fight Don Pablo and his men. The Rancho Castanares, near the Pueblo Santa Barbara and stretching from the mountains to the sea, is threatened by a decree of the American government requiring Spanish land-grant owners to register their holdings by June 15th, or see them revert to public domain. Scheming Don Pablo Gonzales advises his wealthy friend Don Jose Castanares to defy the government decree, as he wishes to grab the Rancho Castanares for himself, and it is obvious that his lazy son, Luiz, will not obtain the property through marriage to Jose's daughter Dolores, who dreams of meeting a dashing storybook hero. Knowing an entrance cue when he heard one, in rides U.S. Army Captain John Holmes on his horse Duke, sent by the government to convince the land-owners to protect their property by registration. John, guided through the countryside by a fast-talking gent of shady fortune, Felipe Guadalupe Constacio Delgado Santa Cruz de la Verranca, wins the trust of Don Jose and the wrath of the steaming and still-scheming Gonzales. John wins an unlikely ally when he prevents the arrest by U.S. Army troops of outlaw Jake Morgan, who promises to leave the Rancho Castanares alone and provide help anytime John might need it.Which turns out to be soon.Don Jose, on his way to meet John and register his land, is kidnapped by Gonzales' henchmen, and when Dolores goes searching for her father and arrives at the Gonzales ranch, she is held hostage and forced to consent to marriage to Don Luis to save her father. But among the guests at the hastily-assembled wedding are John and Jake in the company of Luis'jilted lover, Anita and her outraged ""aunt"" who is Felipe in disguise. Greatly outnumbered by Gonzales' hired henchies, John, Jake and Felipe fight with swords and ceramic projectiles (as might be expected from a man in drag) while Duke (the Miracle Horse) leads Jake's gang to the rescue. A remake of 1928's ""The Canyon of Adventure"" and features a few scenes where, courtesy of stock footage, John and Duke magically turn into Ken Maynard and Tarzan. Warners reissued this in 1939 and the other westerns Wayne made for producer Leon Schlesinger, with revised artwork (ugly) and updated tagline identifying Wayne as the ""hero of ""Stagecoach"" and ""Allegheny Uprising"", but Duke, the Miracle Horse kept his accustomed billing.","War and Humanity"
"FluffyMarioBros The Movie 2: Universal Course ","FluffyMarioBros The Movie 2: Universal Course  :  After the events of the first movie, a new villain terrorizes the FMB universe, looking for Mario to kill and seeking for power. Mario and Luigi have a new mission to go, and this time, things get more interesting. They will be seeking a new world where there are multiple mysteries to be discovered to find the missing power ups to stop evil. What are these mysteries that will be found? And what will Mario find out about Vortex?","Urban Life and Conflict"
"The Gunfighter ","The Gunfighter  :  A reformed Gunfighter Jimmy Ringo is on his way to a sleepy town in the hope of a reunion with his estranged sweetheart and their young son who he has never seen. On arrival, a chance meeting with some old friends including the town's Marshal gives the repentant Jimmy some respite. But as always Jimmy's reputation has already cast its shadow, this time in the form of three vengeful cowboys hot on his trail and a local gunslinger hoping to use Jimmy to make a name for himself. With a showdown looming, the town is soon in a frenzy as news of Jimmy's arrival spreads. His movements are restricted to the saloon while a secret meeting with his son can be arranged giving him ideas of a long term reunion with his family far removed from his wild past. Gunfighter Jimmy Ringo returns to his old home town to visit his estranged wife and see the young son he has never met. As far as Jimmy is concerned his past life as a gunslinger is over and is looking to settle down. There is little however he can do to shed his reputation as the fastest gun around. Nor can he escape those looking to make a name for themselves by challenging him to a gunfight. Jimmie Ringo is the fastest gun in the west, but he is getting tired of it all and would like to retire. But whereever he goes, there is always some tough kid who wants to try to beat him to the draw. Aging gunslinger, Jimmy Ringo, rides into a strange town where he's immediately recognized. As kids gather at the saloon windows to glimpse the killer and townsfolk gossip about his exploits, the town marshal tries to keep the peace. He wants Ringo out of town, but Ringo asks for a few hours' grace to see his sweetheart, whom he hasn't seen in more than eight years, and their son, whom he's never seen. Meanwhile, three angry cowboys are on his trail and the town's young hothead is scheming to see just how fast Jimmy is. Ringo wants to be left alone, to live with his family, maybe on a small ranch away from his reputation. But can he escape that reputation and find peace?","Holidays and Romance"
"Streets of Ghost Town ","Streets of Ghost Town  :  Steve, Smiley, and the Sheriff come to a ghost town looking for missing gold. In flashback, Steve tells the story of Bill Donner who doublecrossed his partners to get the gold. Donner, now blind and in jail, refuses to tell where the gold is hidden. Another one of the films from the Durango Kid series where there's only about 20 minutes of new footage shot; the scenes in the ghost town involving the credited players---Charles Starrett, Smiley Burnette, George Chesebro, Mary Ellen Kay, Don Reynolds, Stanley Andrews. Frank Fenton and the uncredited Jack Ingram---and the remaining footage is taken from two 1946 films in the series, ""Gunning For Vengeance"" and ""Landrush"", with the latter dominating most of the running time, but with the majority of the stock-footage scenes covered by a voice-over narration by Charles Starrett telling Sheriff Stanley Andrews the background story that has now led them to the streets of ghost town. The plot here concerns the search for unrecovered loot hidden in the ghost town by double-crossing outlaws. Most of the footage is told in flashback by Starrett, who leaves out the actual ending of ""Landrush"" to make the scenes from it merge into this film. Plus, when he's talking and the people in the stock footage scenes aren't, then the story can be whatever he says it is and not what may have actually transpired in the original films. This leads to a few oddities such as; Starrett's non-Durango character in this one is Steve Woods, but the handbills he hands out in stock footage from ""Landrush"" carry the name of his character in that film, Steve Harmon; George Chesebro has the credited role of Bill Donner, but he also plays henchman in the footage from the other two films, neither of which is named Donner; and Bob Kortman plays henchman from two other films, one with a moustache and one without, and the scene continuity has it appearing and disappearing from one scene to the next, and Jock Mahoney flits in and out doubling Starrett in scenes from three different movies, counting this one. The best scene is in the actual original footage when George Chesebro, as the blinded Bill Donner and playing it in his usual over-the-top at full volume style a la Al Picino(or vice-versa since Chesebro came first),is cornered by outlaw Frank Fenton, and tells Fenton that he can't see him but he can hear him, implying some kind of threat to Fenton's welfare. Fenton, who can both see and hear, promptly shoots him dead. And, speaking of that, players Bud Geary and John Tyrrell were both dead when this film was released, but stock footage has extended more than one career.","Fantasy and Quest"
"Revenge of the Virgins ","Revenge of the Virgins  :  Tenderfoot Burton and his wife join forces with an old prospector to search for the rich gold strike the old-timer claims to know of. Along with a couple of no-account gunslingers, they ride deep into the mountains to find the gold, unaware that the treasure is guarded by an all-female tribe of deadly, beautiful, and topless Indians.","Sports and Competition"
"Cowboy and Lucky ","Cowboy and Lucky  :  Cowboy and Lucky are not the most subtle private investigators money can buy, but their knack for mischief and nose for trouble always seem to get the job done. Their reputation catches the attention of Lieutenant Loretta Dunn, an undercover Jackson City police officer, who secretly hires the brothers to help her take a part a powerful new drug cartel that is flooding the streets with a deadly new drug called Tempest. However, Cowboy's and Lucky's good fortunes take a dangerous turn when a failed bust reveals their involvement, and Dunn goes off the grid. Were they set up? Who wants them dead? And whom can they trust? Watch them tear through Jackson City looking for the answers, and see what they mean when they say ""if it ain't broke......just you wait!"" The film centers on the emergence of a powerful new street drug called Tempest. The brothers attempt to assist Lieutenant Loretta Dunn's vice operation in bringing down this new cartel as deaths associated with the new drug skyrocket. Knowing the police force has been compromised, Loretta utilizes the brothers as a secondary arm of her operation to gather intel and track suspects all while she attempts to move up the Tempest organization an undercover to find the man at the top: Steve Carlisle. When a bust goes bad and reveals Cowboy and Lucky's involvement, the brothers are motivated more by survival than loyalty to Loretta in finding the culprits and stopping Carlisle in his tracks.","Fantasy and Quest"
"Enter the Cage ","Enter the Cage  :  In the near future, the only sport that counts is Cage Fighting - to the death. When a small semi pro team are given the chance to fight against one of the largest teams in the country it could be the answer to their financial problems. However they must put their lives on the line to fight in the cage of death against some of the most vicious and deadly fighters in the world. They don't stand a chance, until a dark stranger with a darker past enters their lives.","Aliens and Science Fiction"
"""All Your Living Needs"" ","""All Your Living Needs""  :  Do you live and breathe soccer? Are you eagerly anticipating the next game? Is soccer your life - or at least a big part of it? If your answer is Yes. Then the YouTube Channel All Your Living Needs is for you. As the host of the channel, Johno makes predictions each week on how teams will do in the English Premier League and Major League Soccer.","Western and Adventure"
"Law of the Northwest ","Law of the Northwest  :  Learning that the Alaskan Highway will pass thirty miles from town, the citizens of Moose Horn, Canada decide to build a connecting road which will permit them to transport tungsten from their mines in large quantities. George Bradley gets fellow mine owners to put up their tungsten claims as security to build the road. He delays construction in an effort to gain ownership of the mines for himself. Michele Darcy, a pretty nurse, teams up with Mounties Steve King and Neal Clayton to clear her hot-headed trapper cousin, Paul Darcy, of suspicion of blocking the road, and King brings Bradley and his gang to justice.","Crime and Revenge"
"Flipping the Score ","Flipping the Score  :  When it comes to video games Sparrow Finch is a savant. From her father's original Atari console to Virtual Reality headsets, Rowe has always had a natural intuition for video games. One day while at an arcade called the Hive, a boy named Norman allows Rowe to play the last player of his 'Myths and Mystics' video game. Within no time, Rowe has completed the entire game. Something that should have taken months. Upon seeing what Rowe has done, Norman rips the game controller from Rowe's hands and takes credit for the unheard of accomplishment. Norman is bolstered by Hive's owner Mr. Lastrik and employee, Darryl, both of whom don't believe Rowe, being a young girl, could accomplish such a feat. Rowe's stolen accomplishment skyrockets Norman to video game fame and wins him enough prize money to build his own Virtual Reality Arcade, The Commune, while Rowe is left deeply scarred, in silent unanimity. This year at Denver Comic Convention, Rowe can finally redeem herself playing in a Myths and Mystics Virtual Reality Video Game Tournament against Norman. Sponsored by the Hive, Rowe and her team have the opportunity to advance to Nationals in Las Vegas, where Rowe can reveal her talent on a National stage. But a tear in the universe caused by the 'Virtual Reality Experience' transforms her into her character in the game, a powder blue super soldier and drops her in a world uncannily close to the Myths and Mystics video game. Here, Norman controls a 12 foot tyrant named Conscription who uses a spell called 'Will of Man' to control the viral males of this Universe. Potite Monarch, Rowe's best friend and love interest is from this Alternate Universe and visits our world by way of her own Virtual Reality video game. Potite is hoping Rowe's amazing video game skills will translate to superhuman abilities so to defend her planet Verdurous, from Norman and the evil Conscription. Potite employs her brother Maurice to guide Rowe on her heroine's journey to defeat Conscription, get back to the Tournament and victoriously claim her Grand Champion Status and victory over her detractors.","History and Art"
"Blood, Bullets and Babes ","Blood, Bullets and Babes  :  The world has turned into a lawless land of which renegades and thugs make their own laws. A band of drug running rejects is held up in the northwest, after killing corrupt cops in a desert shootout. The leader of the gang becomes obsessed with a young scientist that is researching the area.","Urban Life and Conflict"
"The ROLE Model ","The ROLE Model  :  Chris Powers, a literature teacher, has led a charmed life. He's the father of two beautiful young children, and in love with Ginni - a very attractive, devoted wife and mother. Sadly though, with little warning, she dies of a mysterious illness and Chris is overwhelmed with grief. Soon after her death Chris is astounded to learn that Ginni was the secret heiress to a fortune worth nearly a billion dollars, which has been bequeathed to him. She also used part of her clandestine wealth to contract with a mysterious corporation that developed a technology known as ROLE -(Real Online Life Emulation), which would enable her ""cloned consciousness"" to forever be accessible via social media applications. Despite Chris'strong reluctance, Ginni's ""ROLE Model"" begins to engage him online. As he interacts with her more and more, a series of macabre murders take place... murders committed to prevent Chris from learning a shocking and powerful secret that will forever shatter our perception of reality; while the very survival of humankind rests upon the stunning outcome.","History and Art"
"King of Dodge City ","King of Dodge City  :  Wild Bill Hickok is sent to Abilene to take on Morgan King and his gang. When he breaks into King's bank to get proof of King's thievery, Sheriff Tex puts him in jail. His friend Cannonball, having lost Bill's letter of authority, now has to get him out.","Sports and Competition"
"""IPT King of the Hill"" ","""IPT King of the Hill""  :  The world's greatest pool players compete to win the biggest prize money in the history of the sport, and to dethrone the current ""King of the Hill,"" Mike ""The Mouth"" Sigel. Six-episode series follows the tournament action from Round One to the Championship.","Western and Adventure"
"The Eagle and the Hawk ","The Eagle and the Hawk  :  1863. Texas Ranger Todd Croyden and Union spy Whitney Randolph cross into Mexico to investigate a growing struggle for power between the French-supported Maximilian and the native-born Benito Juarez. In Mexico they meet General Liguras, who is loyal to Juarez, and the beautiful Madeline -- daughter of or wife to the powerful and manipulative Basil Danzeeger. Croyden falls for Madeline but soon runs afoul of Danzeeger who condemns him to be pulled apart between two horses.","Aliens and Science Fiction"
"The Dude Cowboy ","The Dude Cowboy  :  A rancher, smitten with a pretty young girl he meets, hires himself out to her as a chauffeur, only to find out that she's on her way to his ranch. In order not to look foolish he keeps up the pretense, but his crooked ranch foreman eventually brings matters to a head.","Sports and Competition"
"Guns of the Law ","Guns of the Law  :  The 11th in the series of 14 ""Texas Rangers"" westerns from P.R.C. that starred Dave O'Brien and Jim Newill, before Newill was replaced by Tex Ritter in the concluding eight films of a very bad 22-films series: Lillian Wilkins and her old Civil War Veteran Uncle Jed Wilkins own a ranch through which a pipeline will be laid. They are unaware of this but Dan Tyndall, Joe Hyslop and Tom Binns are aware of the possibilities for a quick profit and set out to prove through crooked-surveyor Sam Brisco that the land has been improperly surveyed and not rightfully the possession of the Wilkins. They go to family friend and attorney Kendall Lowther for advice and this is not a good move as Lowther is actually the brains behind the scheme to beat them out of their property. But Texas Rangers Tex Wyatt and Jim Steele show up to take a hand on the side of the Wilkins. That also means that Panhandle Perkins, accompanied by Lee Zahler's horrific comedy scoring, will also show up. Wilkerson's comedy and Zahler's music is enough to make one root for the villains. This one has so many villains that Bud Osborne is relegated to playing a good guy role.","Fantasy and Quest"
"The Ranger, the Cook and a Hole in the Sky ","The Ranger, the Cook and a Hole in the Sky  :  A young ranger in the Montana wilderness discovers the great forces of nature while learning the importance of honor, trust and integrity. Legendary veteran ranger Bill Bell educates the young man and guides him toward manhood. The year is 1919-a time when being a ranger meant more than operating expensive equipment. Forest fires were fought with guts and courage, not chemicals and airplanes. Bill Bell was the toughest ranger in an elite crew of very rugged men. A figure of heroic proportions, he was generally feared and respected by all. It was even rumored that he had at one time killed a sheep farmer, which only fueled his already enormous reputation. The young ranger does everything to remain in the good graces of Bill Bell, the senior ranger he idolizes. Their tentative rapport grows into a friendship through a hilarious and heroic rite of passage in which the younger ranger meets the test-and the woman of his dreams.","Urban Life and Conflict"
"The Accidental Spy ","The Accidental Spy  :  When IT specialist Emmanuel Prince gets blindsided by his cheating girlfriend, his world comes crashing down. While wallowing in his sorrows, his best friends encourage him to take a trip to America to ""breeze out"" and refocus his energy. In the meantime, Nigerian news outlets have been buzzing about a new experimental energy source invented by a Nigerian national studying abroad. ""The Green Light Source"" promises to provide natural sources of electricity to Nigerian citizens for next to nothing. This prospect however does not sit well with the Nigerian Power Cartels who are currently manipulating and abusing the energy system for their own personal gain. Unwilling to have their reign hampered by a meddling outsider, The Chairman ""as he is called, hires a professional hit man to kill the inventor before the unveiling. Fast forward a few weeks and Manny is settling into life as a single guy, exploring America and what it has to offer. While lying in his hotel one night, he comes across an advertisement for a reality show called ""What's your Fantasy"". The reality show offers participants to act out real life documented experiences for pure entertainment. With childhood dreams of becoming an ""SSS"", Emmanuel decides to sign up for the heck of it. Unfortunately for him, his first assignment takes a wrong turn and he ends up taking the place of an actual assassin. While dodging bullets and risking his life, Manny thinks he's simply acting out his character for the reality show. Will Manny the IT Wiz figure his way through the show and save his life? Or will he fall to the deadly arms of the Viper?","Urban Life and Conflict"
"Star Wars: The Old Republic - Knights of the Eternal Throne ","Star Wars: The Old Republic - Knights of the Eternal Throne  :  After the Alliance Commander overthrows Arcann, he/she is faced with a new threat; Vaylin. Faced with new challenges, opportunities, and unlikely allies; the Commander must dethrone Vaylin at all costs... as well as a dark secret that may turn the tides in the Zakuul war - for better or for worse.","Aliens and Science Fiction"
"When the City Sleeps ","When the City Sleeps  :  Kevin Hannigan (MMA Pro Shane 'InYaFace' Chojnacki) has been a top MMA fighter for many years, but after causing the accidental death of an opponent he decides to move to a new city to start a relaxing life with his new wife Ashley (Sydney Samery), But It's not long before he's forced to resort back to his fighting skills again when he crosses paths with an unconventional Cop who's idea of 'street justice' is taken to the extreme.","Family and Struggles"
"Starchaser: The Legend of Orin ","Starchaser: The Legend of Orin  :  Live action remake of the epic tale of rebellion against tyranny and a hero's journey for young Orin, a human slave captive in the oppressive subterranean Mine-World. When Orin discovers the handle of a sword that could overthrow Mine-World's evil overlord Zygon, Orin embarks on a dangerous quest to find the mythical blade that will defeat his captors and bring freedom to all the slaves.","Aliens and Science Fiction"
"The Woman of the Town ","The Woman of the Town  :  New York newspaperman Bat Masterson thinks back on his time as a lawman in Dodge City, Kansas, when he cleaned up the lawless town and loved a saloon girl named Dora Hand. Masterson's rival for Dora's love was a scofflaw named King Kennedy, who laughs at Masterson's attempts to establish law but grudgingly admires the way he goes about it. Kennedy's jealousy of Dora leads him into deeper conflict with Masterson, even as Dora tries to maneuver Masterson into leaving town and leaving the dangerous job of marshal behind.","Western and Adventure"
"ECW November to Remember '96 ","ECW November to Remember '96  :  The Sandman defends the ECW World Heavyweight Title against Raven while seeking revenge for Raven stealing his family. ""The Innovator of Violence"" Tommy Dreamer and ""The Hardcore Legend"" Terry Funk join forces against ""The Franchise"" Shane Douglas and Brian Lee, plus more.","History and Art"
"A Blossom of Love in Gannan ","A Blossom of Love in Gannan  :  A drama about an ethnic Han Chinese doctor Wan Peng from the metropolitan city who reluctantly arrives in the majestic grassland steppes to provide medical services to rural Tibetan herders in 1968. All he wanted to do was to find a way out. However, as time passes, he adjusts, integrates into the community, marries a local girl, and raises a family. One day years later, he heared the Gang of Four has been smashed. China is once again in flux. Millions of urban youths who were sent to the country can return to their home cities. Although she loves him, his Tibetan wife will not leave the steppes. Wan must choose. Should he stay or should he return to his family in Hangzhou.",NA
"Deadly Diversions ","Deadly Diversions  :  The computer disc held all the answers and all the dangers. Drake, an everyday man suddenly faces unknown dangers from everywhere - all after the disc. Who can he trust? The man in the black suit? The girl next door who just moved in? Suddenly his quiet suburban life erupts into a harrowing journey through the deadly streets of the Los Angeles he no longer knows or trusts ... Deadly Diversions takes us into all the places of Los Angeles an illegal film crew can go ... and shouldn't go. Each scene could be the film's last if the word isn't given in three languages ... ""run, it's the cops, we have no permit."" Deadly Diversions is the culmination of dozens of weekends plotting out where to shoot for free and whether great craft services can convince the lead actors to return ... and the belief when someone offers you apprentice ninjas and Mexican wrestlers on tour, you fit them in the script - dammit! There is also nudity. And like in real life, it was under the table ...","Crime and Revenge"
"The Magic and the Rose ","The Magic and the Rose  :  Alan, a recluse man in his 70's escapes the pain and guilt caused by the death of his wife by finding solace in the sweet melodies played with his fiddle. Unexpectedly he meets Blanche; a carefree, vivacious woman who see's only the beauty in all things, turns his life topsy-turvy as she teaches him that it's never too late to embrace love & adventure, regardless of the risks.","Holidays and Romance"
"Welcome to Nowhere ","Welcome to Nowhere  :  In a series of warped, image-driven episodes, five strangers in the American West navigate overlapping landscapes of paradoxical fantasy. Constantly shifting perspective, the fractured narrative revolves around a poet, a hitchhiker and three motel rooms. A surrealistic combination of sparse dialog, unsettling characters and abstracted motion graphics animation, the film is a dreamy revision to the classic road story.","Urban Life and Conflict"
"The Sports Illustrated 20 Greatest College Basketball Players Ever ","The Sports Illustrated 20 Greatest College Basketball Players Ever  :  For the first time ever, the writers and staff at Sports Illustrated have pulled together their list of the 20 greatest college players to ever play. Hosted by Summer Sanders and with guests Pooh Richardson and Kareem Abdul-Jabbar, the conversation will be heated as to 'who's on the list and who isn't. We will also be celebrating the greatest sports photographs in the world.",NA
"The Galloping Jinx ","The Galloping Jinx  :  Madge Walling's uncle dies and leaves her his ranch, but with the proviso that she be married by noon on the day she turns 18 years of age. Harold Rice, the man she is to marry, is held up by bandit Pete Black and doesn't arrive at the ranch on time. Secret Service agent Rankin manages to recover Harold's money from Black, but is injured in the process and suffers amnesia. He wanders onto the Walling ranch, where he is mistakenly assumed to be Rice. Complications ensue.","History and Art"
"Reincarnation ","Reincarnation  :  A Japanese actress (Yuka) comes face to face with a slew of restless spirits when she signs on to star in a horror film -- the true story of a crazed professor's murderous rampage that left 11 victims, including his young daughter, in its wake. But the film being shot at the very site where the grisly killings took place. Takashi Shimizu (The Grudge) directs this darkly mesmerizing tale of crime, punishment and redemption.","Family and Struggles"
"The Mustachioed Bandit Meets His End ","The Mustachioed Bandit Meets His End  :  When Leonard wakes to find himself tied to a horse, a noose around his neck, dead bodies on all sides, and a gash on his head that prevents him from remembering any of it, he sets off to find help for the unconscious survivors. His journey won't be easy, as he meets a new kid in town and a sinister villain who both have pasts that may put Leonard in peril.","Holidays and Romance"
"The Internationals ","The Internationals  :  Los Internationals is a more serious Latino take on the Expendables and the A-Team, that will feature a team of all Spanish speaking characters who represent different parts of South America and the Caribbean. The film will be fun and have lots of heart but will also take a closer look at real violence in our society and the glorification of it in video games; comparing the two to show the vast contrast and its true impact on our children.","Aliens and Science Fiction"
